"","TRANSACTION_DESCRIPTION","TRANSACTION_DATE"
"1","Jazmine Jones was waived by the Washington Mystics.","2023-05-17"
"2","Emily Engstler was waived by the Washington Mystics.","2023-05-17"
"3","Kalani Brown was waived by the Dallas Wings.","2023-05-17"
"4","Charli Collier was waived by the Dallas Wings.","2023-05-17"
"5","Leigha Brown was traded from the Atlanta Dream to the Connecticut Sun.","2023-05-16"
"6","Monika Czinano was waived by the Los Angeles Sparks.","2023-05-16"
"7","Destanni Henderson was waived by the Indiana Fever.","2023-05-16"
"8","Brea Beal was waived by the Minnesota Lynx.","2023-05-16"
"9","Jayla Everett was waived by the Connecticut Sun.","2023-05-16"
"10","Nia Clouden was waived by the Connecticut Sun.","2023-05-16"
"11","Jasmine Walker was waived by the Seattle Storm.","2023-05-16"
"12","Caitlin Bickle was waived by the Connecticut Sun.","2023-05-16"
"13","Morgan Green was waived by the New York Liberty.","2023-05-16"
"14","Stephanie Mawuli was waived by the New York Liberty.","2023-05-16"
"15","Sika Koné was waived by the New York Liberty.","2023-05-16"
"16","Jennie Simms was waived by the Phoenix Mercury.","2023-05-16"
"17","Sam Thomas was waived by the Phoenix Mercury.","2023-05-16"
"18","DiDi Richards was waived by the New York Liberty.","2023-05-16"
"19","Rae Burrell was waived by the Los Angeles Sparks.","2023-05-16"
"20","Karlie Samuelson was waived by the Los Angeles Sparks.","2023-05-16"
"21","The Phoenix Mercury exercised their option with Michaela Onyenwere.","2023-05-15"
"22","Tyasha Harris signed a Contract Extension with the Connecticut Sun.","2023-05-15"
"23","Alexis Peterson was waived by the Las Vegas Aces.","2023-05-15"
"24","Abby Meyers was waived by the Dallas Wings.","2023-05-15"
"25","The Chicago Sky exercised their option with Dana Evans.","2023-05-14"
"26","Sabrina Ionescu signed a Contract Extension with the New York Liberty.","2023-05-14"
"27","Elena Tsineke was waived by the Washington Mystics.","2023-05-14"
"28","Stephanie Jones was waived by the Washington Mystics.","2023-05-14"
"29","Angel Baker was waived by the Chicago Sky.","2023-05-14"
"30","Myah Selland was waived by the Minnesota Lynx.","2023-05-14"
"31","Maya Dodson was waived by the Minnesota Lynx.","2023-05-14"
"32","Liz Dixon was waived by the Phoenix Mercury.","2023-05-13"
"33","Destiny Slocum was waived by the Phoenix Mercury.","2023-05-13"
"34","Reshanda Gray was waived by the Los Angeles Sparks.","2023-05-13"
"35","Crystal Bradford was waived by the Los Angeles Sparks.","2023-05-13"
"36","Madi Williams was waived by the Seattle Storm.","2023-05-12"
"37","Kitija Laksa  is out for the 2023 season due to a Personal Decision.","2023-05-10"
"38","Essence Booker was waived by the Phoenix Mercury.","2023-05-10"
"39","Ashten Prechtel was waived by the Connecticut Sun.","2023-05-10"
"40","Diamond Battles was waived by the Connecticut Sun.","2023-05-10"
"41","Alexis Morris was waived by the Connecticut Sun.","2023-05-10"
"42","Evina Westbrook was awarded on waivers to the Phoenix Mercury.","2023-05-09"
"43","The Connecticut Sun exercised their option with DiJonai Carrington.","2023-05-09"
"44","LaDazhia Williams was waived by the Indiana Fever.","2023-05-09"
"45","Jade Loville was waived by the Seattle Storm.","2023-05-09"
"46","Courtney Range was waived by the Las Vegas Aces.","2023-05-09"
"47","Brittany Davis was waived by the Las Vegas Aces.","2023-05-09"
"48","Aisha Sheppard was waived by the Las Vegas Aces.","2023-05-09"
"49","Kylee Shook was waived by the Phoenix Mercury.","2023-05-08"
"50","Kiana Williams was waived by the Minnesota Lynx.","2023-05-08"
"51","Stephanie Watts was waived by the Minnesota Lynx.","2023-05-08"
"52","Alisia Jenkins was waived by the Washington Mystics.","2023-05-07"
"53","Evina Westbrook was waived by the Washington Mystics.","2023-05-07"
"54","Destiny Harden was waived by the Phoenix Mercury.","2023-05-05"
"55","Alaina Coates was waived by the Atlanta Dream.","2023-05-05"
"56","Mikayla Pivec was waived by the Atlanta Dream.","2023-05-05"
"57","Victoria Macaulay was waived by the Connecticut Sun.","2023-05-05"
"58","Kiara Smith was waived by the Connecticut Sun.","2023-05-03"
"59","Khaalia Hillsman was waived by the Connecticut Sun.","2023-05-03"
"60","Mikiah Herbert Harrigan was waived by the Connecticut Sun.","2023-05-03"
"61","Rennia Davis was waived by the Indiana Fever.","2023-05-03"
"62","Keishana Washington was waived by the Minnesota Lynx.","2023-05-03"
"63","Emily Engstler signed a Training Camp Contract with the Washington Mystics.","2023-05-01"
"64","Diamond Battles signed a Rookie Scale Contract with the Connecticut Sun.","2023-04-30"
"65","Lasha Petree was waived by the Connecticut Sun.","2023-04-30"
"66","Kayana Traylor signed a Rookie Scale Contract with the Chicago Sky.","2023-04-29"
"67","Lasha Petree signed a Rookie Scale Contract with the Connecticut Sun.","2023-04-27"
"68","Sydney Wiese was waived by the Phoenix Mercury.","2023-04-27"
"69","Emily Engstler was waived by the Indiana Fever.","2023-04-26"
"70","Kristi Toliver signed a Contract with the Washington Mystics.","2023-04-25"
"71","Elizabeth Balogun was waived by the Las Vegas Aces.","2023-04-24"
"72","Chelsey Perry was waived by the Indiana Fever.","2023-04-23"
"73","Alaina Coates signed a Training Camp Contract with the Atlanta Dream.","2023-04-20"
"74","Alexis Morris signed a Rookie Scale Contract with the Connecticut Sun.","2023-04-18"
"75","Haley Jones signed a Rookie Scale Contract with the Atlanta Dream.","2023-04-18"
"76","Leigha Brown signed a Rookie Scale Contract with the Atlanta Dream.","2023-04-18"
"77","Aliyah Boston signed a Rookie Scale Contract with the Indiana Fever.","2023-04-17"
"78","Morgan Bertsch signed a Training Camp Contract with the Chicago Sky.","2023-04-17"
"79","Madi Williams signed a Rookie Scale Contract with the Seattle Storm.","2023-04-17"
"80","Beatrice Mompremier was waived by the Atlanta Dream.","2023-04-17"
"81","Ashley Joens signed a Rookie Scale Contract with the Dallas Wings.","2023-04-15"
"82","Nirra Fields was waived by the Connecticut Sun.","2023-04-15"
"83","Grace Berger signed a Rookie Scale Contract with the Indiana Fever.","2023-04-14"
"84","Taylor Mikesell signed a Rookie Scale Contract with the Indiana Fever.","2023-04-14"
"85","LaDazhia Williams signed a Rookie Scale Contract with the Indiana Fever.","2023-04-14"
"86","Victaria Saxton signed a Rookie Scale Contract with the Indiana Fever.","2023-04-14"
"87","Jordan Horston signed a Rookie Scale Contract with the Seattle Storm.","2023-04-14"
"88","Dulcy Fankam Mendjiadeu signed a Rookie Scale Contract with the Seattle Storm.","2023-04-14"
"89","Jade Loville signed a Rookie Scale Contract with the Seattle Storm.","2023-04-14"
"90","Brittany Davis signed a Rookie Scale Contract with the Las Vegas Aces.","2023-04-14"
"91","Diamond Miller signed a Rookie Scale Contract with the Minnesota Lynx.","2023-04-14"
"92","Dorka Juhász signed a Rookie Scale Contract with the Minnesota Lynx.","2023-04-14"
"93","Brea Beal signed a Rookie Scale Contract with the Minnesota Lynx.","2023-04-14"
"94","Taylor Soule signed a Rookie Scale Contract with the Minnesota Lynx.","2023-04-14"
"95","Keishana Washington signed a Rookie Scale Contract with the Minnesota Lynx.","2023-04-14"
"96","Myah Selland signed a Rookie Scale Contract with the Minnesota Lynx.","2023-04-14"
"97","Lou Lopez Sénéchal signed a Rookie Scale Contract with the Dallas Wings.","2023-04-13"
"98","Monika Czinano signed a Rookie Scale Contract with the Los Angeles Sparks.","2023-04-13"
"99","Zia Cooke signed a Rookie Scale Contract with the Los Angeles Sparks.","2023-04-13"
"100","Joyner Holmes signed a Training Camp Contract with the Los Angeles Sparks.","2023-04-13"
"101","Crystal Bradford signed a Training Camp Contract with the Los Angeles Sparks.","2023-04-13"
"102","Abby Meyers signed a Rookie Scale Contract with the Dallas Wings.","2023-04-13"
"103","Elena Tsineke signed a Rookie Scale Contract with the Washington Mystics.","2023-04-13"
"104","Laeticia Amihere signed a Rookie Scale Contract with the Atlanta Dream.","2023-04-13"
"105","Astou Ndour-Fall  is out for the 2023 season due to a Personal Decision.","2023-04-12"
"106","Liz Dixon signed a Rookie Scale Contract with the Phoenix Mercury.","2023-04-12"
"107","Destiny Harden signed a Rookie Scale Contract with the Phoenix Mercury.","2023-04-12"
"108","Angel Baker signed a Rookie Scale Contract with the Chicago Sky.","2023-04-12"
"109","Kadi Sissoko signed a Rookie Scale Contract with the Phoenix Mercury.","2023-04-12"
"110","Elizabeth Balogun signed a Rookie Scale Contract with the Las Vegas Aces.","2023-04-12"
"111","Jayla Everett signed a Rookie Scale Contract with the Connecticut Sun.","2023-04-12"
"112","Maddy Siegrist signed a Rookie Scale Contract with the Dallas Wings.","2023-04-12"
"113","Khaalia Hillsman signed a Training Camp Contract with the Connecticut Sun.","2023-04-11"
"114","Caitlin Bickle signed a Rookie Scale Contract with the Connecticut Sun.","2023-04-11"
"115","Ashten Prechtel signed a Rookie Scale Contract with the Connecticut Sun.","2023-04-11"
"116","Essence Booker signed a Rookie Scale Contract with the Phoenix Mercury.","2023-04-11"
"117","Aliyah Boston was drafted by the Indiana Fever.","2023-04-10"
"118","Diamond Miller was drafted by the Minnesota Lynx.","2023-04-10"
"119","Maddy Siegrist was drafted by the Dallas Wings.","2023-04-10"
"120","Stephanie Soares was drafted by the Washington Mystics.","2023-04-10"
"121","Lou Lopez Sénéchal was drafted by the Dallas Wings.","2023-04-10"
"122","Haley Jones was drafted by the Atlanta Dream.","2023-04-10"
"123","Grace Berger was drafted by the Indiana Fever.","2023-04-10"
"124","Laeticia Amihere was drafted by the Atlanta Dream.","2023-04-10"
"125","Jordan Horston was drafted by the Seattle Storm.","2023-04-10"
"126","Zia Cooke was drafted by the Los Angeles Sparks.","2023-04-10"
"127","Abby Meyers was drafted by the Dallas Wings.","2023-04-10"
"128","Maïa Hirsch was drafted by the Minnesota Lynx.","2023-04-10"
"129","Taylor Mikesell was drafted by the Indiana Fever.","2023-04-10"
"130","Shaneice Swain was drafted by the Los Angeles Sparks.","2023-04-10"
